ingredient,count
ACETAMINOPHEN,443
CHLORPHENIRAMINE MALEATE,187
ANHYDROUS CAFFEINE,167
GUAIFENESIN,154
DL-METHYLEPHEDRINE HYDROCHLORIDE,151
PSEUDOEPHEDRINE HYDROCHLORIDE,138
DEXTROMETHORPHAN HYDROBROMIDE HYDRATE,134
IBUPROFEN,105
EPHEDRINE HYDROCHLORIDE,50
NAPROXEN,36
LICORICE,32
RIBOFLAVIN,32
TRIPROLIDINE HYDROCHLORIDE HYDRATE,27
CINNAMON BARK,26
CLONIXIN LYSINATE,26
PEONY ROOT,25
PAMABROM,25
NAPROXEN SODIUM,23
THIAMINE NITRATE,22
EPHEDRA HERB,21
GINGER,21
DIMENHYDRINATE,21
PYRIDOXINE HYDROCHLORIDE,19
JUJUBE,18
TIPEPIDINE HIBENZATE,16
ASCORBIC ACID,14
CLOPERASTINE HYDROCHLORIDE,14
PINELLIA TUBER,13
MAGNESIUM OXIDE,13
FURSULTIAMINE,13
PUERARIA ROOT,12
PENTOXYVERINE CITRATE,11
BROMPHENIRAMINE MALEATE,10
NOSCAPINE HYDROCHLORIDE HYDRATE,10
TIPEPIDINE CITRATE,10
ETHENZAMIDE,10
GALGEUNTANG DRIED EXTRACT,9
SCOPOLAMINE HYDROBROMIDE HYDRATE,9
PHENYLEPHRINE HYDROCHLORIDE,9
ASIASARUM ROOT,8
RHIZOME,8
SCHISANDRA FRUIT,8
DIPHENHYDRAMINE HYDROCHLORIDE,6
MICROENCAPSULATED ACETAMINOPHEN,6
ASCORBIC ACID GRANULES 97%,6
GINSENG,5
LIRIOPE TUBER,5
ORYZAE SEMEN,5
POTASSIUM GUAIACOLSULFONATE,5
SOCHEONGRYONGTANG DRIED EXTRACT,5
NICOTINAMIDE,5
GINKGO BILOBA LEAF DRIED EXTRACT,5
RIBOFLAVIN SODIUM PHOSPHATE,5
NOSCAPINE,4
RAW GINGER,4
CAFFEINE HYDRATE,4
DEXTROMETHORPHAN HYDROBROMIDE,3
GALGEUNTANG EXTRACT,3
DL-METHIONINE,3
ASCORBIC ACID COATED,3
CINNAMON BARK POWDER,3
BENFOTIAMINE,3
PLATYCODON ROOT 50% ETHANOL DRIED EXTRACT,3
MECLIZINE HYDROCHLORIDE HYDRATE,3
GLYCYRRHIZA EXTRACT POWDER,3
RIBOFLAVIN POWDER 33.3%,3
AS DRIED EXTRACT,2
SOCHEONGRYONGTANG SOFT EXTRACT,2
PLATYCODON ROOT EXTRACT POWDER,2
IBUPROFEN ARGININE,2
MAGNESIUM ALUMINOMETASILICATE,2
ACETAMINOPHEN GRANULES,2
ISOPROPYLANTIPYRINE,2
ASCORBIC ACID 97%,2
ASPIRIN,2
D-CHLORPHENIRAMINE MALEATE,2
ALLYLISOPROPYLACETYLUREA,2
COPTIS RHIZOME EXTRACT POWDER,2
THIAMINE NITRATE POWDER 33.3%,1
GALGEUNTANG SOFT EXTRACT,1
MAEGMUNDONGTANG SOFT EXTRACT,1
IBUPROFEN LYSINE,1
HYANGSOSAN SOFT EXTRACT,1
CITRUS UNSHIU PEEL DRIED EXTRACT,1
APRICOT KERNEL,1
ACETAMINOPHEN MICRONIZED,1
CINNAMON BARK DRIED EXTRACT,1
GLYCYRRHIZA DRIED EXTRACT,1
CATTLE GALLSTONE,1
POLYGALA ROOT POWDER,1
PYRILAMINE MALEATE,1
SOCHEONGRYONGTANG EXTRACT POWDER,1
GINSENG DRIED EXTRACT,1
COPTIS RHIZOME DRIED EXTRACT,1
ARGININE,1
HYANGSOSAN DRIED EXTRACT,1
FURSULTIAMINE HYDROCHLORIDE,1
PHENIRAMINE MALEATE,1
GLYCYRRHIZA POWDER,1
PEONY ROOT POWDER,1
ANHYDROUS CITRIC ACID,1
SODIUM BICARBONATE,1
ARCTIUM FRUIT,1
FORSYTHIA FRUIT,1
GAZELLAE SEU SAIGAE CORNU,1
GLYCINE SEMEN PREPARATUM,1
LONICERA FLOWER,1
LOPHATHERI HERBA,1
MENTHA HERB,1
PLATYCODON ROOT,1
SCHIZONEPETA SPIKE,1
ETHYL AMINOBENZOATE,1
DOXYLAMINE SUCCINATE,1
DIFENIDOL HYDROCHLORIDE,1
PEONY ROOT EXTRACT POWDER,1
