kcd_code,kcd_name_kor,kcd_name_eng
A00,콜레라,Cholera
A00.0,비브리오 콜레라 01 콜레라형균에 의한,"Cholera due to Vibrio cholerae 01, biovar"
A00.1,비브리오 콜레라 01 엘토르형균에 의한,"Cholera due to Vibrio cholerae 01, biovar eltor"
A00.9,상세불명의 콜레라,"Cholera, unspecified"
A01,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers
A01.0,장티푸스,Typhoid fever
A01.1,파라티푸스,A Paratyphoid fever A
A01.2,파라티푸스,B Paratyphoid fever B
A01.3,파라티푸스,C Paratyphoid fever C
A01.4,상세불명의 파라티푸스,"Paratyphoid fever, unspecified"
A02,기타 살모넬라감염,Other salmonella infections
A02.0,살모넬라장염,Salmonella enteritis
A02.1,살모넬라패혈증,Salmonella sepsis
A02.2,국소적 살모넬라감염,Localized salmonella infections
A02.8,기타 명시된 살모넬라감염,Other specified salmonella infections
A02.9,상세불명의 살모넬라감염,"Salmonella infection, unspecified"
A03,시겔라증,Shigellosis
A03.0,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae
A03.1,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri
A03.2,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii
A03.3,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei
A03.8,기타 시겔라증,Other shigellosis
A03.9,상세불명의 시겔라증,"Shigellosis, unspecified"
A04,기타 세균성 장감염,Other bacterial intestinal infections
A04.0,장병원성 대장균감염,Enteropathogenic Escherichia coli infection
A04.1,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection
A04.2,장침투성 대장균감염,Enteroinvasive Escherichia coli infection
A04.3,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection
A04.4,기타 장대장균감염,Other intestinal Escherichia coli infection
A04.5,캄필로박터장염,Campylobacter enteritis
A04.6,예르시니아 엔테로콜리티카에 의한,Enteritis due to Yersinia enterocolitica
A04.7,클로스트리듐 디피실리에 의한,Enterocolitis due to Clostridium difficile
A04.8,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections
A04.9,상세불명의 세균성 장감염,"Bacterial intestinal infection, unspecified"
A05,달리 분류되지 않은 기타 세균성,"Other bacterial foodborne intoxications, NEC"
A05.0,음식매개포도알균중독,Foodborne staphylococcal intoxication
A05.1,보틀리눔중독,Botulism
A05.2,클로스트리듐,Foodborne Clostridium perfringens
A05.3,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus
A05.4,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication
A05.8,기타 명시된 세균성 식중독,Other specified bacterial foodborne
A05.9,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified"
A06,아메바증,Amoebiasis
A06.0,급성 아메바이질,Acute amoebic dysentery
A06.1,만성 장아메바증,Chronic intestinal amoebiasis
A06.2,아메바성 비이질성 결장염,Amoebic nondysenteric colitis
A06.3,장의 아메바종,Amoeboma of intestine
A06.4,아메바성 간농양,K77.0*) Amoebic liver abscess
A06.5,아메바성 폐농양,Amoebic lung abscess
A06.6,아메바성 뇌농양,G07*) Amoebic brain abscess
A06.7,피부아메바증,Cutaneous amoebiasis
A06.8,기타 부위의 아메바성 감염,Amoebic infection of other sites
A06.9,상세불명의 아메바증,"Amoebiasis, unspecified"
A07,기타 원충성 장질환,Other protozoal intestinal diseases
A07.0,대장섬모충증,Balantidiasis
A07.1,편모충증[람블편모충증,Giardiasis [lambliasis]
A07.2,와포자충증,Cryptosporidiosis
A07.3,등포자충증,Isosporiasis
A07.8,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases
A07.9,상세불명의 원충성 장질환,"Protozoal intestinal disease, unspecified"
A08,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections
A08.0,로타바이러스장염,Rotaviral enteritis
A08.1,노로바이러스에 의한 급성 위장병증,Acute gastroenteropathy due to Norovirus
A08.2,아데노바이러스장염,Adenoviral enteritis
A08.3,기타 바이러스장염,Other viral enteritis
A08.30,사포바이러스 위장염,Sapoviral gastroenteritis
A08.31,아스트로바이러스 위장염,Astroviral gastroenteritis
A08.32,거대세포바이러스 위장염,Cytomegaloviral gastroenteritis
A08.38,기타 명시된 바이러스장염,Other specified viral enteritis
A08.4,상세불명의 바이러스성 장감염,"Viral intestinal infection, unspecified"
A08.5,기타 명시된 장감염,Other specified intestinal infections
A09,감염 성 및 상세불명 기원의 기타,Other gastroenteritis and colitis of infectious
A09.0,감염성 기원의 기타 및 상세불명의,Other and unspecified gastroenteritis and
A09.9,상세불명 기원의 위장염 및 결장염,Gastroenteritis and colitis of unspecified
A15,세균학적 및 조직학적으로 확인된,"Respiratory tuberculosis, bacteriologically and"
A15.0,배양 유무에 관계 없이 가래 현미경,"Tuberculosis of lung, confirmed by sputum"
A15.1,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture"
A15.2,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically"
A15.3,상세불명의 수단으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by"
A15.4,세균학적 및 조직학적으로 확인된,"Tuberculosis of intrathoracic lymph nodes,"
A15.5,세균학적 및 조직학적으로 확인된,"Tuberculosis of larynx, trachea and bronchus,"
A15.6,세균학적 및 조직학적으로 확인된,"Tuberculous pleurisy, confirmed"
A15.7,세균학적 및 조직학적으로 확인된,"Primary respiratory tuberculosis, confirmed"
A15.8,세균학적 및 조직학적으로 확인된 기타,"Other respiratory tuberculosis, confirmed"
A15.9,세균학적 및 조직학적으로 확인된,"Respiratory tuberculosis unspecified,"
A16,세균학적으로나 조직학적으로,"Respiratory tuberculosis, not confirmed"
A16.0,세균학적 및 조직학적으로 음성인,"Tuberculosis of lung, bacteriologically and"
A16.1,세균학적 및 조직학적 검사를 하지,"Tuberculosis of lung, bacteriological and"
A16.2,세균학적 또는 조직학적 확인에 대한,"Tuberculosis of lung, without mention of"
A16.3,세균학적 또는 조직학적 확인에 대한,"Tuberculosis of intrathoracic lymph nodes,"
A16.4,세균학적 또는 조직학적 확인에 대한,"Tuberculosis of larynx, trachea and bronchus,"
A16.5,세균학적 또는 조직학적 확인에 대한,"Tuberculous pleurisy, without mention of"
A16.7,세균학적 또는 조직학적 확인에 대한,Primary respiratory tuberculosis without
A16.8,세균학적 또는 조직학적 확인에 대한,"Other respiratory tuberculosis, without"
A16.9,세균학적 또는 조직학적 확인에 대한,"Respiratory tuberculosis unspecified, without"
A17,신경계통의 결핵,Tuberculosis of nervous system
A17.0,결핵성 수막염,G01*) Tuberculous meningitis
A17.1,수막결핵종,G07*) Meningeal tuberculoma
A17.8,기타 신경계통의 결핵,Other tuberculosis of nervous system
A17.80,뇌 및 척수의 결핵종,G07*) Tuberculoma of brain and spinal cord
